Threads | Real(s)
1 | 7.703223130
2 | 4.111222893
3 | 2.827486943
4 | 2.152142378
5 | 1.740254919
6 | 1.546744680
7 | 1.306937841
8 | 1.167038597
9 | 1.078016251
10 | 1.130718919
11 | .896092527
12 | .988720485
13 | .798763659
14 | .964289762
15 | .716003564
16 | .708109662
17 | .683404568
18 | .700622327
19 | .679401717
20 | 1.099237781
21 | .614098609
22 | .621270575
23 | 1.159702273
24 | .665162866
25 | .685239260
26 | .649714789
27 | .686331736
28 | .596004215
29 | .638274624
30 | 1.101490220
31 | .666763559
32 | .668217852
33 | .604054676
34 | .675517748
35 | .667687835
36 | .685062012
37 | .690477927
38 | 1.095612200
39 | .695183243
40 | .655096625
41 | .710017583
42 | .639396689
43 | 1.109593523
44 | .689420172
45 | .652747676
46 | .595848757
47 | .668169653
48 | 1.165915406
49 | 1.059924240
50 | .720128375
51 | .664178402
52 | 1.021783251
53 | 1.106978547
54 | .715123750
55 | .662435931
56 | .663672915
57 | .594942822
58 | 1.139356923
59 | .691650162
60 | 1.173161622
61 | .660869009
62 | .611141144
63 | .611385354
64 | .701009586
65 | 1.123860957
66 | .744034114
67 | .696410250
68 | .731413822
69 | 1.261537594
70 | 1.267362376
71 | 1.250051089
72 | 1.240249141
73 | .711553262
74 | .648956501
75 | .645342797
76 | .752697857
77 | 1.268341244
78 | .755743453
79 | .659575221
80 | .690530524
81 | .700795885
82 | 1.133235945
83 | .718084552
84 | .733737758
85 | .716868298
86 | .787632282
87 | .716812419
88 | .732945002
89 | .806173734
90 | 1.272702023
91 | .711222115
92 | .799331066
93 | .786011190
94 | .665862902
95 | .802134083
96 | .741733830
97 | .740453167
98 | .799106797
99 | 1.115869631
100 | .741755770
